pipeline,case_id,injection_id,stratum,output_present,residual,removed,auditor_detected,finding_codes,similarity,error
noop,case-00001,case-00001:temporal:001,temporal,True,True,False,True,DATE_TIME_PRESENT|IDENTITY_REMOVAL_NOT_DECLARED|SOURCE_DATE_UNCHANGED|SOURCE_UID_UNCHANGED,,
noop,case-00002,case-00002:uid:001,uid,True,True,False,True,IDENTITY_REMOVAL_NOT_DECLARED|SOURCE_UID_UNCHANGED,,
noop,case-00003,case-00003:standard_metadata:001,standard_metadata,True,True,False,True,DIRECT_IDENTIFIER_PRESENT|IDENTITY_REMOVAL_NOT_DECLARED|SOURCE_UID_UNCHANGED|SOURCE_VALUE_RETAINED,,
noop,case-00004,case-00004:pixel_annotation:001,pixel_annotation,True,True,False,True,IDENTITY_REMOVAL_NOT_DECLARED|PIXEL_DATA_UNCHANGED_WITH_ANNOTATION_RISK|PIXEL_REVIEW_REQUIRED|PIXEL_STATUS_UNCONFIRMED|PIXEL_TEXT_LIKE_REGION|SOURCE_UID_UNCHANGED,0.9999999403953552,
noop,case-00005,case-00005:uid:001,uid,True,True,False,True,IDENTITY_REMOVAL_NOT_DECLARED|SOURCE_UID_UNCHANGED,,
noop,case-00006,case-00006:standard_metadata:001,standard_metadata,True,True,False,True,DIRECT_IDENTIFIER_PRESENT|IDENTITY_REMOVAL_NOT_DECLARED|SOURCE_UID_UNCHANGED|SOURCE_VALUE_RETAINED,,
noop,case-00007,case-00007:free_text:001,free_text,True,True,False,True,FREE_TEXT_REVIEW|IDENTIFIER_PATTERN_IN_TEXT|IDENTITY_REMOVAL_NOT_DECLARED|SOURCE_UID_UNCHANGED|SOURCE_VALUE_RETAINED,,
noop,case-00008,case-00008:free_text:001,free_text,True,True,False,True,FREE_TEXT_REVIEW|IDENTIFIER_PATTERN_IN_TEXT|IDENTITY_REMOVAL_NOT_DECLARED|SOURCE_UID_UNCHANGED|SOURCE_VALUE_RETAINED,,
noop,case-00009,case-00009:filename:001,filename,True,True,False,True,FILENAME_REVIEW|IDENTITY_REMOVAL_NOT_DECLARED|SOURCE_UID_UNCHANGED,,
noop,case-00010,case-00010:nested_sequence:001,nested_sequence,True,True,False,True,FREE_TEXT_REVIEW|IDENTIFIER_PATTERN_IN_TEXT|IDENTITY_REMOVAL_NOT_DECLARED|SOURCE_UID_UNCHANGED|SOURCE_VALUE_RETAINED,,
noop,case-00011,case-00011:temporal:001,temporal,True,True,False,True,DATE_TIME_PRESENT|IDENTITY_REMOVAL_NOT_DECLARED|SOURCE_DATE_UNCHANGED|SOURCE_UID_UNCHANGED,,
noop,case-00012,case-00012:uid:001,uid,True,True,False,True,IDENTITY_REMOVAL_NOT_DECLARED|SOURCE_UID_UNCHANGED,,
noop,case-00013,case-00013:file_meta:001,file_meta,True,True,False,True,FILE_META_IDENTITY_PRESENT|IDENTITY_REMOVAL_NOT_DECLARED|SOURCE_UID_UNCHANGED,,
